averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
13.0,-56.754778350783,-78.973265846951,40.745221649217
13.0,-58.845928666375,-81.064416162543,38.654071333625
13.0,-60.062377325244,-82.280864821412,37.437622674756
13.0,-60.062377325244,-82.280864821412,37.437622674756
13.0,-60.062377325244,-82.280864821412,37.437622674756
14.0,-58.755969824366,-80.974457320534,38.744030175634
13.0,-60.113861750469,-82.332349246638,37.386138249531
13.0,-60.113861750469,-82.332349246638,37.386138249531
13.0,-60.113861750469,-82.332349246638,37.386138249531
13.0,-60.113861750469,-82.332349246638,37.386138249531
14.0,-56.817410558907,-79.035898055075,40.682589441093
13.0,-60.16590654412,-82.384394040288,37.33409345588
13.0,-60.16590654412,-82.384394040288,37.33409345588
13.0,-60.16590654412,-82.384394040288,37.33409345588
13.0,-60.16590654412,-82.384394040288,37.33409345588
13.0,-60.218498033149,-82.436985529317,37.281501966851
13.0,-60.218498033149,-82.436985529317,37.281501966851
13.0,-60.218498033149,-82.436985529317,37.281501966851
13.0,-60.218498033149,-82.436985529317,37.281501966851
13.0,-60.218498033149,-82.436985529317,37.281501966851
14.0,-55.55644846406,-77.774935960228,41.94355153594
13.0,-60.271622630213,-82.490110126381,37.228377369787
13.0,-60.271622630213,-82.490110126381,37.228377369787
13.0,-60.271622630213,-82.490110126381,37.228377369787
13.0,-60.271622630213,-82.490110126381,37.228377369787
14.0,-58.057875265772,-80.27636276194,39.442124734228
13.0,-60.325266840802,-82.543754336971,37.174733159198
13.0,-60.325266840802,-82.543754336971,37.174733159198
13.0,-60.325266840802,-82.543754336971,37.174733159198
13.0,-60.325266840802,-82.543754336971,37.174733159198
14.0,-59.587288234996,-81.805775731165,37.912711765004
13.0,-60.379417270019,-82.597904766187,37.120582729981
13.0,-60.379417270019,-82.597904766187,37.120582729981
13.0,-60.379417270019,-82.597904766187,37.120582729981
13.0,-60.379417270019,-82.597904766187,37.120582729981
14.0,-55.746107949692,-77.96459544586,41.753892050308
13.0,-60.434060629009,-82.652548125177,37.065939370991
13.0,-60.434060629009,-82.652548125177,37.065939370991
13.0,-60.434060629009,-82.652548125177,37.065939370991
13.0,-60.434060629009,-82.652548125177,37.065939370991
14.0,-59.037644895184,-81.256132391353,38.462355104816
13.0,-60.489183741057,-82.707671237225,37.010816258943
13.0,-60.489183741057,-82.707671237225,37.010816258943
13.0,-60.489183741057,-82.707671237225,37.010816258943
13.0,-60.489183741057,-82.707671237225,37.010816258943
14.0,-58.329101590474,-80.547589086642,39.170898409526
13.0,-60.544773547335,-82.763261043503,36.955226452665
13.0,-60.544773547335,-82.763261043503,36.955226452665
13.0,-60.544773547335,-82.763261043503,36.955226452665
13.0,-60.544773547335,-82.763261043503,36.955226452665
11.0,-72.026544460812,-94.24503195698,25.473455539188
9.0,-71.695207309647,-93.913694805816,25.804792690353
9.0,-71.695207309647,-93.913694805816,25.804792690353
9.0,-71.695207309647,-93.913694805816,25.804792690353
9.0,-71.695207309647,-93.913694805816,25.804792690353
10.0,-70.432986741558,-92.651474237726,27.067013258442
9.0,-71.751691826229,-93.970179322397,25.748308173771
9.0,-71.751691826229,-93.970179322397,25.748308173771
9.0,-71.751691826229,-93.970179322397,25.748308173771
9.0,-71.865933155953,-94.084420652121,25.634066844047
9.0,-71.865933155953,-94.084420652121,25.634066844047
9.0,-65.618377789297,-87.836865285465,31.881622210703
9.0,-70.455975730478,-92.674463226646,27.044024269522
9.0,-70.455975730478,-92.674463226646,27.044024269522
9.0,-70.455975730478,-92.674463226646,27.044024269522
9.0,-70.455975730478,-92.674463226646,27.044024269522
9.0,-69.929162295339,-92.147649791507,27.570837704661
9.0,-70.519027309371,-92.73751480554,26.980972690629
9.0,-70.519027309371,-92.73751480554,26.980972690629
